iter	MultiRMSE
0	459.049974
1	458.8445875
2	458.6320867
3	458.4798405
4	458.297565
5	458.1158791
6	457.9261403
7	457.7703169
8	457.5749996
9	457.3719128
10	457.1704341
11	457.0970133
12	456.9053214
13	456.7239567
14	456.5562148
15	456.3347443
16	456.1131776
17	455.8781947
18	455.5766313
19	455.4015143
20	455.1150888
21	454.9292139
22	454.7116181
23	454.5671414
24	454.3661837
25	454.1246343
26	453.8827926
27	453.6610519
28	453.4434198
29	453.2615647
30	453.1131544
31	452.922953
32	452.8089659
33	452.55696
34	452.285217
35	452.0843225
36	451.9108651
37	451.8104258
38	451.5772299
39	451.3698973
40	451.2290489
41	451.0447184
42	450.889753
43	450.7458295
44	450.5920389
45	450.396751
46	450.1764249
47	449.9941979
48	449.7666295
49	449.6153207
50	449.384017
51	449.2021811
52	449.0387852
53	448.8260096
54	448.6614308
55	448.4806121
56	448.3258592
57	448.1532919
58	447.9479888
59	447.7670275
60	447.5731888
61	447.4225492
62	447.2096354
63	447.0297213
64	446.8208606
65	446.6258738
66	446.4384393
67	446.2532869
68	445.9986038
69	445.7428317
70	445.5206597
71	445.3849964
72	445.1730783
73	445.0238759
74	444.8519885
75	444.6952615
76	444.669333
77	444.4721499
78	444.3401694
79	444.0998786
80	443.9134193
81	443.7003783
82	443.4560234
83	443.2481835
84	443.113959
85	442.976656
86	442.7747903
87	442.5520211
88	442.2891481
89	442.0807692
90	441.8816607
91	441.6965936
92	441.5161015
93	441.3472879
94	441.0901016
95	440.900584
96	440.7604888
97	440.5712682
98	440.4351888
99	440.2002129
100	439.977867
101	439.7751718
102	439.5817686
103	439.4207071
104	439.2249668
105	439.0554019
106	438.8877806
107	438.660514
108	438.4735269
109	438.2925595
110	438.1754895
111	438.0428606
112	437.80971
113	437.5919498
114	437.4400384
115	437.2746051
116	437.1519632
117	436.9583673
118	436.8004391
119	436.5910394
120	436.3697503
121	436.2255198
122	436.0538028
123	435.8940966
124	435.6563722
125	435.5255802
126	435.381582
127	435.2505479
128	435.0663177
129	434.8487868
130	434.7010855
131	434.6106217
132	434.4461572
133	434.2769273
134	434.0549215
135	433.8635374
136	433.7180532
137	433.5915605
138	433.3544345
139	433.1653853
140	432.9888754
141	432.8735158
142	432.7022156
143	432.5390734
144	432.3808928
145	432.2638769
146	432.0958802
147	431.9800187
148	431.8715337
149	431.7050253
150	431.5137925
151	431.3246152
152	431.2358767
153	431.0692867
154	430.8609231
155	430.6815181
156	430.5343513
157	430.3756355
158	430.2585294
159	430.0931958
160	429.932093
161	429.691644
162	429.5167014
163	429.2865809
164	429.1446243
165	429.0054709
166	428.8531873
167	428.5407882
168	428.3942048
169	428.1847649
170	428.0278893
171	427.9072054
172	427.7754168
173	427.5977827
174	427.4240242
175	427.2678377
176	427.0760234
177	426.9227068
178	426.7507332
179	426.494653
180	426.2448571
181	426.1247992
182	425.8976334
183	425.7417642
184	425.4542984
185	425.3299798
186	425.1958629
187	425.0393432
188	424.9079681
189	424.7051909
190	424.5484363
191	424.4277665
192	424.2804165
193	424.0978696
194	423.9765571
195	423.9323573
196	423.628704
197	423.4642522
198	423.2962681
199	423.1576081
200	423.0057369
201	422.8320834
202	422.6202753
203	422.4751006
204	422.3124617
205	422.0419416
206	421.8503381
207	421.7258734
208	421.5640612
209	421.4023219
210	421.2510576
211	421.0905355
212	421.0679548
213	420.9261155
214	420.7948772
215	420.5481576
216	420.3421002
217	420.3124305
218	420.1512469
219	419.9788805
220	419.852276
221	419.7560567
222	419.6010461
223	419.4627918
224	419.288488
225	419.1383052
226	418.8391266
227	418.7036347
228	418.5381506
229	418.4030873
230	418.2130716
231	418.0694565
232	417.8076781
233	417.6883842
234	417.4576652
235	417.2129648
236	417.0376576
237	416.7815543
238	416.5786275
239	416.421908
240	416.2835966
241	416.1493181
242	415.962361
243	415.7330904
244	415.5720367
245	415.4331201
246	415.2762001
247	415.0115626
248	414.8743009
249	414.6631296
250	414.5010404
251	414.2348108
252	414.1160105
253	413.9993257
254	413.7480358
255	413.6371221
256	413.5017052
257	413.3792943
258	413.0939993
