iter	MultiRMSE
0	458.8755925
1	458.7072476
2	458.5289292
3	458.3702698
4	458.1900106
5	457.9875832
6	457.7670567
7	457.6040211
8	457.4504422
9	457.2990186
10	457.1190196
11	456.9190005
12	456.6757507
13	456.4957559
14	456.252325
15	456.2233027
16	456.030265
17	455.8904827
18	455.717012
19	455.5593583
20	455.4609585
21	455.2403142
22	455.032877
23	454.8389957
24	454.565074
25	454.3583671
26	454.1618214
27	454.0316697
28	453.7728451
29	453.626667
30	453.3807068
31	453.2480171
32	453.0492136
33	452.7871936
34	452.5945816
35	452.4088758
36	452.1982747
37	452.057137
38	451.8189916
39	451.573242
40	451.3780451
41	451.1699536
42	451.0466316
43	450.8374608
44	450.7269593
45	450.5631759
46	450.3557241
47	450.1694569
48	450.0496019
49	449.844476
50	449.6477551
51	449.4801944
52	449.3387011
53	449.1438537
54	448.9458445
55	448.7783573
56	448.6165461
57	448.4442329
58	448.3341951
59	448.1148109
60	447.9654147
61	447.7459213
62	447.6135052
63	447.3797583
64	447.1261841
65	446.8655254
66	446.672453
67	446.368797
68	446.1966019
69	446.0064994
70	445.8525516
71	445.6781989
72	445.5240929
73	445.3420929
74	445.1331986
75	444.9080862
76	444.7115772
77	444.5618669
78	444.3944325
79	444.1505534
80	443.8524162
81	443.6352494
82	443.5076463
83	443.2658754
84	443.1293553
85	442.9761274
86	442.8140305
87	442.5693234
88	442.4130126
89	442.2167246
90	442.0959351
91	441.9437022
92	441.7854946
93	441.6853053
94	441.3959398
95	441.1593434
96	440.9623577
97	440.6787709
98	440.5420611
99	440.3792512
100	440.2265101
101	440.0338158
102	439.7425297
103	439.4522364
104	439.3003563
105	439.2511574
106	439.0313358
107	438.8555836
108	438.5336054
109	438.2905589
110	438.1376237
111	437.9187038
112	437.7799579
113	437.6310069
114	437.493452
115	437.2987326
116	436.989058
117	436.8758061
118	436.6478088
119	436.5169642
120	436.3582893
121	436.2135105
122	436.054724
123	435.8873291
124	435.6382759
125	435.4218653
126	435.1711899
127	435.0384442
128	434.8305195
129	434.6835484
130	434.5243025
131	434.338498
132	434.1579649
133	434.0252997
134	433.8615388
135	433.6708927
136	433.4804693
137	433.3576054
138	433.2125288
